index,date,open,high,low,close,volume
752,2021-09-09 20:28:00,1.1826,1.1826,1.1825,1.1826,0
753,2021-09-09 20:27:00,1.1827,1.1827,1.1824,1.1826,0
754,2021-09-09 20:26:00,1.1826,1.1827,1.1825,1.1826,0
755,2021-09-09 20:25:00,1.1827,1.1827,1.1825,1.1827,0
756,2021-09-09 20:24:00,1.1826,1.1827,1.1825,1.1825,0
757,2021-09-09 20:23:00,1.1827,1.1827,1.1825,1.1826,0
758,2021-09-09 20:22:00,1.1826,1.1827,1.1826,1.1827,0
759,2021-09-09 20:21:00,1.1826,1.1827,1.1826,1.1827,0
760,2021-09-09 20:20:00,1.1827,1.1828,1.1825,1.1827,0
761,2021-09-09 20:19:00,1.1827,1.1828,1.1826,1.1827,0
762,2021-09-09 20:18:00,1.1826,1.1827,1.1825,1.1827,0
763,2021-09-09 20:17:00,1.1825,1.1826,1.1824,1.1826,0
764,2021-09-09 20:16:00,1.1826,1.1827,1.1825,1.1826,0
765,2021-09-09 20:15:00,1.1826,1.1827,1.1825,1.1827,0
766,2021-09-09 20:14:00,1.1827,1.1827,1.1824,1.1825,0
767,2021-09-09 20:13:00,1.1827,1.1827,1.1825,1.1827,0
768,2021-09-09 20:12:00,1.1827,1.1827,1.1826,1.1826,0
769,2021-09-09 20:11:00,1.1827,1.1828,1.1825,1.1827,0
770,2021-09-09 20:10:00,1.1827,1.1827,1.1825,1.1827,0
771,2021-09-09 20:09:00,1.1827,1.1827,1.1825,1.1825,0
772,2021-09-09 20:08:00,1.1826,1.1827,1.1825,1.1827,0
773,2021-09-09 20:07:00,1.1826,1.1827,1.1824,1.1826,0
774,2021-09-09 20:06:00,1.1825,1.1826,1.1824,1.1826,0
775,2021-09-09 20:05:00,1.1825,1.1825,1.1823,1.1825,0
776,2021-09-09 20:04:00,1.1824,1.1825,1.1823,1.1824,0
777,2021-09-09 20:03:00,1.1824,1.1825,1.1822,1.1824,0
778,2021-09-09 20:02:00,1.1823,1.1824,1.1821,1.1823,0
